Mach,Altitude_m_AGL,Cd
0.01,0.0,0.4903392996767867
0.02,0.0,0.5324936710452716
0.03,0.0,0.5415827691086015
0.04,0.0,0.543676402778359
0.05,0.0,0.5435606553020705
0.06,0.0,0.542624074022072
0.07,0.0,0.541374497015866
0.08,0.0,0.540023812886221
0.09,0.0,0.5386671935042792
0.1,0.0,0.5373486729445272
0.11,0.0,0.5360882119287844
0.12,0.0,0.5348938910966552
0.13,0.0,0.5337677600592279
0.14,0.0,0.5327088849983662
0.15,0.0,0.5317147728590877
0.16,0.0,0.5307823157030831
0.17,0.0,0.5299081393341536
0.18,0.0,0.529088949050363
0.19,0.0,0.528321562207951
0.2,0.0,0.5276029915466446
0.21,0.0,0.5269305170218215
0.22,0.0,0.5263016379164013
0.23,0.0,0.5257140603899372
0.24,0.0,0.5251657472822493
0.25,0.0,0.5246548395769248
0.26,0.0,0.5245826942243748
0.27,0.0,0.5245446375437214
0.28,0.0,0.5245396313207498
0.29,0.0,0.524566190066302
0.3,0.0,0.5246235322464303
0.31,0.0,0.5247104338410549
0.32,0.0,0.524826219627831
0.33,0.0,0.5249702996252491
0.34,0.0,0.5251417773678988
0.35,0.0,0.5253404000065616
0.36,0.0,0.5255654367686856
0.37,0.0,0.5258168052867228
0.38,0.0,0.5260939165369256
0.39,0.0,0.5263968768308972
0.4,0.0,0.5267252283583104
0.41,0.0,0.5270790534867137
0.42,0.0,0.5274585198244902
0.43,0.0,0.5278633783534707
0.44,0.0,0.5282940648554518
0.45,0.0,0.5287504979206472
0.46,0.0,0.5292332455020363
0.47,0.0,0.5297423506989176
0.48,0.0,0.5302785471571292
0.49,0.0,0.5308420264291093
0.5,0.0,0.5314335183296474
0.51,0.0,0.532053848449752
0.52,0.0,0.53270344395136
0.53,0.0,0.5333834723465825
0.54,0.0,0.5340945590541296
0.55,0.0,0.5348380813360323
0.56,0.0,0.5356149059670728
0.57,0.0,0.5364266295368235
0.58,0.0,0.5372744013599133
0.59,0.0,0.5381601130166694
0.6,0.0,0.5390852030659021
0.61,0.0,0.5407809181515141
0.62,0.0,0.5424942637235352
0.63,0.0,0.5442536288110644
0.64,0.0,0.5460614930604138
0.65,0.0,0.5479211080742215
0.66,0.0,0.5498353739564011
0.67,0.0,0.5518082548846607
0.68,0.0,0.5538434286658132
0.69,0.0,0.5559457521119283
0.7,0.0,0.5581200858661245
0.71,0.0,0.5586717750855352
0.72,0.0,0.5591228159495963
0.73,0.0,0.5595771869527948
0.74,0.0,0.5600350480414169
0.75,0.0,0.5604960956048479
0.76,0.0,0.560960496293709
0.77,0.0,0.5614280164140258
0.78,0.0,0.5618984232295858
0.79,0.0,0.5623719293635953
0.8,0.0,0.5628481603310379
0.81,0.0,0.5674765528226521
0.82,0.0,0.5721075513851874
0.83,0.0,0.5767413763039481
0.84,0.0,0.5813775381624544
0.85,0.0,0.5860164880666983
0.86,0.0,0.5906579080396324
0.87,0.0,0.5953015816270014
0.88,0.0,0.5999476687750915
0.89,0.0,0.6045959932556595
0.9,0.0,0.6092467169305154
0.91,0.0,0.6133895948657712
0.92,0.0,0.625818227713776
0.93,0.0,0.6410044628703447
0.94,0.0,0.6527339848692368
0.95,0.0,0.6644635068681289
0.96,0.0,0.676193028867021
0.97,0.0,0.687922549908151
0.98,0.0,0.6996520719070431
